Región,2022,(porcentaje),2030,(porcentaje).1,2050,(porcentaje).2
África Subsahariana,1152,(14.51 %),1401,(16.46 %),2094,(21.62 %)
África del Norte y Asia occidental,549,(6.91 %),617,(7.25 %),771,(7.96 %)
Asia Central y Sur de Asia,2075,(26.13 %),2248,(26.41 %),2575,(26.58 %)
Asia Oriental y Sudeste de Asia,2342,(29.49 %),2372,(27.87 %),2317,(23.92 %)
"Europa, EE. UU. y Canadá",1120,(14.10 %),1129,(13.26 %),1125,(11.61 %)
América Latina y el Caribe,658,(8.29 %),695,(8.17 %),749,(7.73 %)
Australia/Nueva Zelanda,31,(0.39 %),34,(0.40 %),38,(0.39 %)
Oceanía,14,(0.18 %),15,(0.18 %),20,(0.21 %)
Mundo,7942,,8512,,9687,
